date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:37:43	21921/21921	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2013:14:47%20GMT	https://duruthemes.com/demo/html/florya/light/gallery.html	C:/My%20Web%20Sites/Mama_fajuyi@80/duruthemes.com/demo/html/florya/light/gallery.html	(from )
10:37:44	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Dec%202024%2018:37:46%20GMT	https://duruthemes.com/robots.txt		(from )
10:37:44	7876/7876	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jan%202024%2013:14:54%20GMT	https://duruthemes.com/demo/html/florya/light/img/favicon.png	C:/My%20Web%20Sites/Mama_fajuyi@80/duruthemes.com/demo/html/florya/light/img/favicon.png	(from https://duruthemes.com/demo/html/florya/light/gallery.html)
10:37:44	720/720	---M-Z	200	added ('OK')	text/css	date:Tue,%2009%20Jan%202024%2013:14:51%20GMT	https://duruthemes.com/demo/html/florya/light/css/plugins.css	C:/My%20Web%20Sites/Mama_fajuyi@80/duruthemes.com/demo/html/florya/light/css/plugins.css	(from https://duruthemes.com/demo/html/florya/light/gallery.html)
10:37:45	99330/99330	---M-Z	200	added ('OK')	text/css	date:Tue,%2009%20Jan%202024%2013:14:51%20GMT	https://duruthemes.com/demo/html/florya/light/css/style.css	C:/My%20Web%20Sites/Mama_fajuyi@80/duruthemes.com/demo/html/florya/light/css/style.css	(from https://duruthemes.com/demo/html/florya/light/gallery.html)
10:37:45	52472/52472	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2013:14:45%20GMT	https://duruthemes.com/demo/html/florya/light/index.html	C:/My%20Web%20Sites/Mama_fajuyi@80/duruthemes.com/demo/html/florya/light/index.html	(from https://duruthemes.com/demo/html/florya/light/gallery.html)
10:37:46	13464/13464	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Jan%202024%2013:14:54%20GMT	https://duruthemes.com/demo/html/florya/light/img/logo.png	C:/My%20Web%20Sites/Mama_fajuyi@80/duruthemes.com/demo/html/florya/light/img/logo.png	(from https://duruthemes.com/demo/html/florya/light/gallery.html)
10:37:46	50738/50738	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2013:14:45%20GMT	https://duruthemes.com/demo/html/florya/light/index2.html	C:/My%20Web%20Sites/Mama_fajuyi@80/duruthemes.com/demo/html/florya/light/index2.html	(from https://duruthemes.com/demo/html/florya/light/gallery.html)
10:37:47	49781/49781	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2013:14:45%20GMT	https://duruthemes.com/demo/html/florya/light/index3.html	C:/My%20Web%20Sites/Mama_fajuyi@80/duruthemes.com/demo/html/florya/light/index3.html	(from https://duruthemes.com/demo/html/florya/light/gallery.html)
10:37:47	50654/50654	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2013:14:46%20GMT	https://duruthemes.com/demo/html/florya/light/index4.html	C:/My%20Web%20Sites/Mama_fajuyi@80/duruthemes.com/demo/html/florya/light/index4.html	(from https://duruthemes.com/demo/html/florya/light/gallery.html)
